Epoch,Loss,Train Accuracy,Test Accuracy,Time,Final Test Accuracy
1.0,2.1448824405670166,0.253625,0.2519166666666667,0.19928574562072754,0.8336
2.0,1.992505669593811,0.46839583333333334,0.47525,0.1066429615020752,0.8336
3.0,1.8612664937973022,0.5754375,0.5784166666666667,0.10764050483703613,0.8336
4.0,1.7464743852615356,0.6156875,0.6206666666666667,0.10180830955505371,0.8336
5.0,1.6456574201583862,0.6336041666666666,0.64,0.10467815399169922,0.8336
6.0,1.5568972826004028,0.6444375,0.651,0.0965733528137207,0.8336
7.0,1.4785393476486206,0.6521875,0.6571666666666667,0.10375714302062988,0.8336
8.0,1.4091366529464722,0.6580625,0.663,0.11069655418395996,0.8336
9.0,1.34743070602417,0.6635208333333333,0.6686666666666666,0.10265684127807617,0.8336
10.0,1.2923372983932495,0.6680208333333333,0.67275,0.1078195571899414,0.8336
11.0,1.242930293083191,0.6722291666666667,0.6773333333333333,0.10474872589111328,0.8336
12.0,1.1984220743179321,0.6770416666666667,0.6810833333333334,0.10465025901794434,0.8336
13.0,1.1581469774246216,0.6813333333333333,0.6846666666666666,0.09967207908630371,0.8336
14.0,1.121541142463684,0.6848958333333334,0.6876666666666666,0.09961581230163574,0.8336
15.0,1.0881291627883911,0.6888125,0.69075,0.10258960723876953,0.8336
16.0,1.0575085878372192,0.6930208333333333,0.6951666666666667,0.09965753555297852,0.8336
17.0,1.0293384790420532,0.6971875,0.69875,0.09573912620544434,0.8336
18.0,1.0033290386199951,0.7009375,0.703,0.09877347946166992,0.8336
19.0,0.9792332053184509,0.7043541666666666,0.7075,0.09971475601196289,0.8336
20.0,0.9568395614624023,0.7078333333333333,0.7110833333333333,0.10066437721252441,0.8336
21.0,0.935966432094574,0.7115416666666666,0.7148333333333333,0.10067296028137207,0.8336
22.0,0.916456401348114,0.7146666666666667,0.7184166666666667,0.10165786743164062,0.8336
23.0,0.8981743454933167,0.7177291666666666,0.7223333333333334,0.1016693115234375,0.8336
24.0,0.8810011744499207,0.7206041666666667,0.7255833333333334,0.10065340995788574,0.8336
25.0,0.8648335933685303,0.723125,0.728,0.09478116035461426,0.8336
26.0,0.8495809435844421,0.7264583333333333,0.7305833333333334,0.09769582748413086,0.8336
27.0,0.8351624011993408,0.7291458333333334,0.7340833333333333,0.10065841674804688,0.8336
28.0,0.8215077519416809,0.7320416666666667,0.7366666666666667,0.0967404842376709,0.8336
29.0,0.8085538744926453,0.73475,0.7385,0.09471940994262695,0.8336
30.0,0.7962446212768555,0.7369375,0.74025,0.10764718055725098,0.8336
31.0,0.7845297455787659,0.7394166666666667,0.7421666666666666,0.10461997985839844,0.8336
32.0,0.7733648419380188,0.7417291666666667,0.74475,0.09777235984802246,0.8336
33.0,0.7627095580101013,0.7449791666666666,0.7475,0.09758663177490234,0.8336
34.0,0.7525272965431213,0.7472916666666667,0.74925,0.09767436981201172,0.8336
35.0,0.7427855134010315,0.7498333333333334,0.7506666666666667,0.09665393829345703,0.8336
36.0,0.7334547638893127,0.752375,0.7535,0.09970808029174805,0.8336
37.0,0.7245078086853027,0.7545833333333334,0.7554166666666666,0.09866666793823242,0.8336
38.0,0.7159204483032227,0.7567916666666666,0.7571666666666667,0.09669756889343262,0.8336
39.0,0.7076703906059265,0.7589583333333333,0.7590833333333333,0.09856700897216797,0.8336
40.0,0.6997373700141907,0.7607916666666666,0.76025,0.09765791893005371,0.8336
41.0,0.6921026110649109,0.7626458333333334,0.7621666666666667,0.09973526000976562,0.8336
42.0,0.684749186038971,0.7643125,0.76425,0.09604620933532715,0.8336
43.0,0.6776613593101501,0.7663541666666667,0.7660833333333333,0.10061049461364746,0.8336
44.0,0.6708247065544128,0.7680208333333334,0.7678333333333334,0.09767317771911621,0.8336
45.0,0.6642257571220398,0.7694791666666667,0.7694166666666666,0.0976710319519043,0.8336
46.0,0.6578522324562073,0.7709583333333333,0.77075,0.09667658805847168,0.8336
47.0,0.6516929268836975,0.7723958333333333,0.77175,0.09668803215026855,0.8336
48.0,0.6457369327545166,0.7740625,0.77325,0.0987386703491211,0.8336
49.0,0.6399744153022766,0.775375,0.7745833333333333,0.09917688369750977,0.8336
50.0,0.6343962550163269,0.7769375,0.7763333333333333,0.09674596786499023,0.8336
51.0,0.6289939284324646,0.7782083333333333,0.7779166666666667,0.10054779052734375,0.8336
52.0,0.6237592101097107,0.77975,0.77875,0.09667801856994629,0.8336
53.0,0.618684709072113,0.7807916666666667,0.7798333333333334,0.09678149223327637,0.8336
54.0,0.6137632727622986,0.7816666666666666,0.7815833333333333,0.09771513938903809,0.8336
55.0,0.6089884042739868,0.7827708333333333,0.7830833333333334,0.09966683387756348,0.8336
56.0,0.6043537259101868,0.7839583333333333,0.78375,0.0985567569732666,0.8336
