Epoch,Loss,Train Accuracy,Test Accuracy,Time
1.0,0.5741674900054932,0.7924375,0.7935833333333333,1.9162178039550781
2.0,0.4814419150352478,0.828,0.8260833333333333,1.8255691528320312
3.0,0.43071067333221436,0.84175,0.8386666666666667,2.2369487285614014
4.0,0.39688053727149963,0.8502916666666667,0.8455,2.292675018310547
5.0,0.3714290261268616,0.8556041666666667,0.8505,2.2594594955444336
6.0,0.3514319062232971,0.8604791666666667,0.8533333333333334,2.362769603729248
7.0,0.3344991207122803,0.8647916666666666,0.8575,2.374110698699951
8.0,0.3204413950443268,0.8684791666666667,0.8598333333333333,2.3451545238494873
9.0,0.30795156955718994,0.8719166666666667,0.86325,2.3222243785858154
10.0,0.2973651587963104,0.8746458333333333,0.86475,2.4382622241973877
11.0,0.288022518157959,0.8765625,0.8658333333333333,2.3175413608551025
12.0,0.2798466682434082,0.8783125,0.8674166666666666,2.4392027854919434
13.0,0.2721433639526367,0.8804583333333333,0.8686666666666667,2.3309638500213623
14.0,0.26573365926742554,0.8828333333333334,0.8698333333333333,2.3977017402648926
15.0,0.2596607804298401,0.884375,0.8705,2.445206642150879
16.0,0.25420257449150085,0.8861875,0.8719166666666667,2.400975227355957
17.0,0.24961747229099274,0.8876666666666667,0.8738333333333334,2.386018991470337
18.0,0.24533064663410187,0.88925,0.8746666666666667,2.3998093605041504
19.0,0.24150265753269196,0.8906666666666667,0.87625,2.418039560317993
20.0,0.23747724294662476,0.8919791666666667,0.8778333333333334,2.422311305999756
21.0,0.2341039776802063,0.8932708333333333,0.8785,2.451078414916992
22.0,0.2308155745267868,0.8946458333333334,0.8790833333333333,2.5854544639587402
23.0,0.22783413529396057,0.8956875,0.8785,2.574934482574463
24.0,0.22539418935775757,0.8968333333333334,0.8789166666666667,2.435709238052368
25.0,0.22297243773937225,0.8978125,0.8791666666666667,2.438725709915161
26.0,0.22029446065425873,0.8987083333333333,0.8800833333333333,2.408379077911377
27.0,0.218003049492836,0.8999375,0.8806666666666667,2.5274322032928467
28.0,0.21594683825969696,0.9006666666666666,0.88125,2.447460889816284
29.0,0.21400266885757446,0.9019375,0.8815833333333334,2.448971748352051
30.0,0.21225473284721375,0.9032916666666667,0.882,2.4243526458740234
31.0,0.21039971709251404,0.9042291666666666,0.8825833333333334,2.535515546798706
32.0,0.2086145579814911,0.9053541666666667,0.8829166666666667,2.752173662185669
33.0,0.20702897012233734,0.9065416666666667,0.884,2.6566708087921143
34.0,0.20553362369537354,0.9075625,0.884,2.5302963256835938
35.0,0.20430698990821838,0.9088541666666666,0.8843333333333333,2.5616931915283203
36.0,0.2032264918088913,0.9098333333333334,0.8849166666666667,2.5189216136932373
37.0,0.20241251587867737,0.91125,0.8845,2.55582857131958
38.0,0.20112858712673187,0.9123333333333333,0.8845833333333334,2.5753111839294434
39.0,0.2000298947095871,0.9135,0.88475,2.6321756839752197
